2,1,3,1,2,0
3,1,3,1,2,0
6,1,3,1,2,0
24,1,3,1,1,0
30,1,3,1,2,1
39,1,3,1,2,0
44,1,3,1,2,1
45,1,2,1,1,1
47,1,3,1,1,1
53,1,3,1,1,2
64,1,3,1,2,1
66,1,3,1,1,1
71,1,3,1,1,1
72,1,3,1,1,1
76,1,3,1,1,2
84,1,3,1,2,1
99,1,3,1,2,1
104,1,3,1,1,1
107,1,3,1,1,1
111,1,3,1,2,0
119,1,2,1,1,1
128,1,3,1,1,1
130,1,2,1,1,1
136,1,3,1,1,1
142,1,3,1,2,1
155,1,3,1,2,0
157,1,3,1,2,1
163,1,3,1,1,0
167,1,3,1,1,0
170,1,3,1,2,1
178,1,3,1,1,1
199,1,2,1,1,0
211,1,3,1,1,1
212,1,2,1,2,1
215,1,2,1,1,1
216,1,3,1,2,0
