847,0,0,0
346,0,0,0
1186,0,0,0
797,0,0,0
364,0,0,0
280,0,0,0
262,0,0,0
613,1,1,1
287,0,0,0
63,0,0,0
1111,0,0,0
870,0,0,0
318,0,0,0
28,0,0,0
69,0,0,0
75,0,0,0
418,0,0,0
1156,0,0,0
157,0,0,0
13,0,0,0
212,0,0,0
793,0,0,0
1139,0,0,0
1031,0,0,0
651,1,1,1
830,0,0,0
1025,0,0,0
409,0,0,0
393,0,0,0
1090,0,0,0
499,0,0,0
868,0,0,0
833,0,0,0
731,0,0,0
1040,0,0,0
577,0,0,0
925,0,0,0
413,0,0,0
47,0,0,0
398,0,0,0
425,0,0,0
300,0,0,0
818,0,0,0
717,0,0,0
257,0,0,0
45,0,0,0
1079,0,0,0
48,0,0,0
385,0,0,0
692,1,1,1
307,0,0,0
334,0,0,0
761,0,0,0
269,0,0,0
57,0,0,0
973,0,0,0
548,0,0,0
1081,0,0,0
872,0,0,0
301,0,0,0
166,0,0,0
1042,0,0,0
390,0,0,0
67,0,0,0
846,0,0,0
383,0,0,0
311,0,0,0
440,0,0,0
39,0,0,0
104,0,0,0
88,0,0,0
303,0,0,0
70,0,0,0
424,0,0,0
124,0,0,0
668,1,1,1
270,0,0,0
798,0,0,0
1064,0,0,0
100,0,0,0
1088,0,0,0
1035,0,0,0
604,1,1,1
167,0,0,0
880,0,0,0
356,0,0,0
597,0,0,0
991,0,0,0
538,0,0,0
